symbol,option_type,strike,expiry,setup,signal,open,high,low,ltp,diff_pts,open_interest,volume,atm_offset,spot_price,atm_strike
NIFTY 24150 CE,CE,24150,18-Aug-2026,OPEN=HIGH,BEARISH,403.9,403.9,247.1,326.45,0.0,2566,2886715,-300,24435.94921875,24450
NIFTY 24150 PE,PE,24150,18-Aug-2026,NONE,NEUTRAL,35.1,66.55,26.8,31.0,0.0,22749,36036065,-300,24435.94921875,24450
NIFTY 24200 CE,CE,24200,18-Aug-2026,NONE,NEUTRAL,354.95,363.0,211.8,285.95,0.0,12858,20859605,-250,24435.94921875,24450
NIFTY 24200 PE,PE,24200,18-Aug-2026,NONE,NEUTRAL,38.65,82.0,33.35,39.25,0.0,72393,86932885,-250,24435.94921875,24450
NIFTY 24250 CE,CE,24250,18-Aug-2026,NONE,NEUTRAL,313.75,321.35,179.25,247.0,0.0,5347,23892245,-200,24435.94921875,24450
NIFTY 24250 PE,PE,24250,18-Aug-2026,NONE,NEUTRAL,49.0,100.6,42.35,50.1,0.0,37961,79365585,-200,24435.94921875,24450
NIFTY 24300 CE,CE,24300,18-Aug-2026,NONE,NEUTRAL,280.45,285.55,150.2,211.0,0.0,36747,83452590,-150,24435.94921875,24450
NIFTY 24300 PE,PE,24300,18-Aug-2026,NONE,NEUTRAL,59.0,121.65,51.3,64.75,0.0,86799,152842690,-150,24435.94921875,24450
NIFTY 24350 CE,CE,24350,18-Aug-2026,NONE,NEUTRAL,237.0,248.35,123.8,177.95,0.0,22601,61930440,-100,24435.94921875,24450
NIFTY 24350 PE,PE,24350,18-Aug-2026,NONE,NEUTRAL,74.0,145.95,64.65,81.0,0.0,35495,104025675,-100,24435.94921875,24450
NIFTY 24400 CE,CE,24400,18-Aug-2026,NONE,NEUTRAL,205.0,214.05,100.0,147.6,0.0,92932,133295240,-50,24435.94921875,24450
NIFTY 24400 PE,PE,24400,18-Aug-2026,NONE,NEUTRAL,91.0,172.95,79.05,100.85,0.0,74608,156887900,-50,24435.94921875,24450
NIFTY 24450 CE,CE,24450,18-Aug-2026,OPEN=HIGH,BEARISH,198.0,198.0,80.85,121.1,0.0,48651,77640420,0,24435.94921875,24450
NIFTY 24450 PE,PE,24450,18-Aug-2026,NONE,NEUTRAL,109.0,202.85,97.0,124.4,0.0,22315,73419515,0,24435.94921875,24450
NIFTY 24500 CE,CE,24500,18-Aug-2026,NONE,NEUTRAL,140.0,152.2,63.7,98.35,0.0,137534,129229945,+50,24435.94921875,24450
NIFTY 24500 PE,PE,24500,18-Aug-2026,NONE,NEUTRAL,131.0,235.7,118.7,150.25,0.0,47416,78883610,+50,24435.94921875,24450
NIFTY 24550 CE,CE,24550,18-Aug-2026,NONE,NEUTRAL,115.0,125.0,49.5,77.9,0.0,44019,51617085,+100,24435.94921875,24450
NIFTY 24550 PE,PE,24550,18-Aug-2026,NONE,NEUTRAL,157.0,271.45,137.85,180.65,0.0,7263,16305445,+100,24435.94921875,24450
NIFTY 24600 CE,CE,24600,18-Aug-2026,NONE,NEUTRAL,93.45,101.85,38.4,60.3,0.0,108901,77747605,+150,24435.94921875,24450
NIFTY 24600 PE,PE,24600,18-Aug-2026,NONE,NEUTRAL,184.0,309.15,166.15,213.05,0.0,25603,21503040,+150,24435.94921875,24450
NIFTY 24650 CE,CE,24650,18-Aug-2026,NONE,NEUTRAL,74.8,81.35,29.35,46.15,0.0,38436,38625145,+200,24435.94921875,24450
NIFTY 24650 PE,PE,24650,18-Aug-2026,OPEN=LOW,BULLISH,201.6,348.95,201.55,248.2,0.05,5122,3786575,+200,24435.94921875,24450
NIFTY 24700 CE,CE,24700,18-Aug-2026,NONE,NEUTRAL,57.85,63.65,22.35,35.1,0.0,90397,59793955,+250,24435.94921875,24450
NIFTY 24700 PE,PE,24700,18-Aug-2026,NONE,NEUTRAL,249.65,391.75,227.4,287.65,0.0,12829,5248815,+250,24435.94921875,24450
NIFTY 24750 CE,CE,24750,18-Aug-2026,NONE,NEUTRAL,44.65,49.1,16.95,25.95,0.0,31892,31565755,+300,24435.94921875,24450
NIFTY 24750 PE,PE,24750,18-Aug-2026,NONE,NEUTRAL,279.65,434.85,264.7,330.15,0.0,1931,839865,+300,24435.94921875,24450
