ticker,setup_type,signal,open,high,low,entry_price,entry_move_pct,ltp,pnl_pct,risk_per_share,change_pct,diff_from_open_pct,volume,vol_surge,vwap,above_vwap,stoploss,target_1,target_2,exact_match,momentum_confirmed,prev_day_high,prev_day_low
INDUSTOWER,OPEN_LOW,BULLISH (BUY),370.0,385.2,369.75,372.4,0.65,383.4,2.95,3.76,3.8,0.068,9885442,1.46,379.45,True,368.64,378.04,381.8,False,False,377.5,367.45
MAHABANK,OPEN_LOW,BULLISH (BUY),78.85,81.99,78.75,79.01,0.2,81.87,3.62,0.5,3.75,0.127,26406985,2.83,80.87,True,78.51,79.76,80.26,False,False,79.17,77.32
BOSCHLTD,OPEN_LOW,BULLISH (BUY),45040.0,46735.0,45040.0,45625.0,1.3,46480.0,1.87,720.12,2.87,0.0,92515,1.65,46085.0,True,44904.88,46705.18,47425.3,True,False,45740.0,44220.0
BDL,OPEN_LOW,BULLISH (BUY),1309.0,1340.0,1308.0,1312.0,0.23,1340.0,2.13,7.92,2.48,0.076,1201234,1.01,1329.33,True,1304.08,1323.88,1331.8,False,False,1318.5,1296.0
SBIN,OPEN_LOW,BULLISH (BUY),1066.0,1085.5,1066.0,1068.4,0.23,1082.0,1.27,5.6,1.5,0.0,17206330,1.05,1077.83,True,1062.8,1076.8,1082.4,True,False,1071.0,1060.9
PETRONET,OPEN_LOW,BULLISH (BUY),277.0,281.9,277.0,279.45,0.88,279.85,0.14,3.28,1.03,0.0,1293075,1.28,279.58,True,276.17,284.37,287.65,True,True,279.1,273.45
PAYTM,OPEN_LOW,BULLISH (BUY),1593.7,1623.7,1591.3,1608.6,0.93,1610.0,0.09,22.07,1.02,0.151,2409577,0.28,1608.33,True,1586.53,1641.7,1663.77,False,False,1639.0,1577.0
GLENMARK,OPEN_LOW,BULLISH (BUY),2276.0,2310.0,2272.4,2278.0,0.09,2290.0,0.53,12.42,0.62,0.158,450598,1.22,2290.8,False,2265.58,2296.63,2309.05,False,False,2291.0,2245.2
HDBFS,OPEN_LOW,BULLISH (BUY),685.7,699.2,685.0,693.25,1.1,688.75,-0.65,10.3,-0.63,0.102,250686,0.48,690.98,False,682.95,708.7,719.0,False,False,695.3,670.7
PRESTIGE,OPEN_HIGH,BEARISH (SELL),1592.0,1594.0,1555.3,1568.8,-1.46,1590.7,-1.4,29.98,0.3,0.126,197310,0.29,1580.0,True,1598.78,1523.83,1493.85,False,True,1640.0,1574.9
MPHASIS,OPEN_HIGH,BEARISH (SELL),2536.0,2540.1,2472.0,2509.9,-1.03,2537.6,-1.1,37.82,0.3,0.162,353139,0.76,2516.57,True,2547.72,2453.17,2415.35,False,False,2540.7,2500.0
BAJAJHLDNG,OPEN_HIGH,BEARISH (SELL),11587.0,11587.0,11410.0,11515.0,-0.62,11579.0,-0.56,106.76,0.25,0.0,21370,0.61,11525.33,True,11621.76,11354.86,11248.1,True,False,11599.0,11414.0
ESCORTS,OPEN_HIGH,BEARISH (SELL),3128.9,3131.0,3097.5,3114.9,-0.45,3126.0,-0.36,25.49,0.23,0.067,89777,1.06,3118.17,True,3140.39,3076.66,3051.18,False,False,3137.0,3071.4
SUNPHARMA,OPEN_HIGH,BEARISH (SELL),1942.0,1945.7,1926.8,1940.4,-0.08,1944.0,-0.19,11.14,0.1,0.191,1510864,0.76,1938.83,True,1951.54,1923.69,1912.55,False,False,1950.8,1929.0
LUPIN,OPEN_HIGH,BEARISH (SELL),2286.6,2287.8,2249.5,2272.8,-0.6,2281.0,-0.36,21.86,0.09,0.052,820133,0.43,2272.77,True,2294.66,2240.01,2218.15,False,False,2288.1,2258.6
BAJFINANCE,OPEN_HIGH,BEARISH (SELL),1093.0,1094.7,1080.0,1087.3,-0.52,1094.2,-0.63,10.68,0.08,0.156,6695658,0.79,1089.63,True,1097.98,1071.28,1060.6,False,False,1101.5,1086.6
INDHOTEL,OPEN_HIGH,BEARISH (SELL),724.0,724.0,713.05,719.6,-0.61,724.0,-0.61,6.57,0.0,0.0,1224521,0.81,720.35,True,726.17,709.75,703.18,True,True,729.35,721.1
HCLTECH,OPEN_HIGH,BEARISH (SELL),1370.0,1370.0,1340.4,1364.2,-0.42,1365.4,-0.09,9.91,0.0,0.0,1348231,0.68,1358.6,True,1374.11,1349.34,1339.42,True,False,1379.8,1359.2
BEL,OPEN_HIGH,BEARISH (SELL),406.0,406.25,399.3,403.55,-0.6,405.7,-0.53,3.92,-0.04,0.062,12606920,1.24,403.75,True,407.47,397.67,393.75,False,False,406.75,401.4
PATANJALI,OPEN_HIGH,BEARISH (SELL),352.95,353.6,342.15,350.4,-0.72,352.6,-0.63,4.26,-0.11,0.184,4046263,0.85,349.45,True,354.66,344.01,339.75,False,True,362.9,350.5
COLPAL,OPEN_HIGH,BEARISH (SELL),2008.0,2008.0,1994.0,1999.4,-0.43,2005.0,-0.28,14.62,-0.15,0.0,311190,1.32,2002.33,True,2014.02,1977.47,1962.85,True,True,2014.9,2000.7
ADANIPORTS,OPEN_HIGH,BEARISH (SELL),1669.8,1672.7,1640.4,1663.0,-0.41,1665.0,-0.12,14.72,-0.19,0.174,1405603,0.75,1659.37,True,1677.72,1640.92,1626.2,False,False,1700.0,1662.0
SOLARINDS,OPEN_HIGH,BEARISH (SELL),18800.0,18800.0,18530.0,18700.0,-0.53,18730.0,-0.16,156.4,-0.21,0.0,89174,1.58,18686.67,True,18856.4,18465.4,18309.0,True,False,18813.0,18420.0
RADICO,OPEN_HIGH,BEARISH (SELL),4553.0,4553.0,4485.0,4503.9,-1.08,4533.0,-0.65,62.76,-0.26,0.0,227839,0.72,4523.67,True,4566.66,4409.76,4347.0,True,True,4565.0,4508.2
SUZLON,OPEN_HIGH,BEARISH (SELL),47.49,47.49,46.9,47.16,-0.69,47.35,-0.4,0.47,-0.32,0.0,37935125,0.9,47.25,True,47.63,46.45,45.98,True,False,47.68,47.12
ADANIENT,OPEN_HIGH,BEARISH (SELL),3020.0,3020.0,2943.0,2990.4,-0.98,2985.7,0.16,38.66,-0.33,0.0,1091638,1.27,2982.9,True,3029.06,2932.41,2893.75,True,False,3062.0,2981.6
DABUR,OPEN_HIGH,BEARISH (SELL),412.65,413.1,405.05,410.3,-0.57,411.25,-0.23,4.04,-0.34,0.109,1568465,1.13,409.8,True,414.34,404.24,400.2,False,True,414.0,411.1
SBILIFE,OPEN_HIGH,BEARISH (SELL),1840.8,1840.8,1816.5,1821.9,-1.03,1830.0,-0.44,24.42,-0.41,0.0,1036579,1.55,1829.1,True,1846.32,1785.27,1760.85,True,False,1861.2,1815.5
LT,OPEN_HIGH,BEARISH (SELL),4038.0,4044.1,3990.0,4013.0,-0.62,4020.0,-0.17,43.23,-0.43,0.151,2141828,1.87,4018.03,True,4056.23,3948.16,3904.93,False,True,4075.0,4028.8
BAJAJHFL,OPEN_HIGH,BEARISH (SELL),85.6,85.62,84.62,85.05,-0.64,84.76,0.34,0.83,-0.46,0.023,1654996,0.72,85.0,False,85.88,83.8,82.97,False,False,86.0,84.95
ICICIGI,OPEN_HIGH,BEARISH (SELL),1646.7,1649.6,1621.0,1630.1,-1.01,1635.0,-0.3,24.45,-0.52,0.176,732611,0.87,1635.2,False,1654.55,1593.42,1568.97,False,False,1649.9,1630.0
TATACOMM,OPEN_HIGH,BEARISH (SELL),1754.0,1754.0,1709.4,1739.2,-0.84,1736.2,0.17,20.06,-0.57,0.0,192432,0.96,1733.2,True,1759.26,1709.11,1689.05,True,False,1759.0,1705.2
TITAN,OPEN_HIGH,BEARISH (SELL),5128.0,5128.0,4992.0,5098.9,-0.57,5099.0,-0.0,44.48,-0.57,0.0,1084575,0.6,5073.0,True,5143.38,5032.18,4987.7,True,False,5168.0,5092.2
ACC,OPEN_HIGH,BEARISH (SELL),1349.0,1349.0,1324.0,1337.1,-0.88,1332.8,0.32,15.95,-0.66,0.0,132993,0.93,1335.27,False,1353.05,1313.17,1297.22,True,True,1361.9,1338.3
AMBUJACEM,OPEN_HIGH,BEARISH (SELL),426.7,426.7,418.05,423.7,-0.7,421.0,0.64,4.28,-0.71,0.0,5266158,2.4,421.92,False,427.98,417.28,413.0,True,False,434.25,423.0
KPRMILL,OPEN_HIGH,BEARISH (SELL),1103.0,1104.0,1085.0,1094.4,-0.78,1088.7,0.52,12.91,-0.71,0.091,131627,0.23,1092.57,False,1107.31,1075.04,1062.12,False,False,1152.0,1090.0
APLAPOLLO,OPEN_HIGH,BEARISH (SELL),2016.9,2018.8,1991.3,2017.0,0.0,1997.1,0.99,10.09,-0.78,0.094,676969,1.1,2002.4,False,2024.86,2001.87,1991.78,False,False,2026.0,1991.8
UNITDSPR,OPEN_HIGH,BEARISH (SELL),1546.6,1546.6,1518.1,1525.2,-1.38,1535.0,-0.64,26.04,-0.88,0.0,431106,0.99,1533.23,True,1551.24,1486.14,1460.1,True,False,1548.7,1515.3
COFORGE,OPEN_HIGH,BEARISH (SELL),1819.0,1819.1,1780.4,1808.0,-0.6,1801.5,0.36,16.56,-0.96,0.005,1527305,0.76,1800.33,True,1824.56,1783.16,1766.6,True,True,1835.2,1810.1
HDFCAMC,OPEN_HIGH,BEARISH (SELL),2520.0,2520.0,2482.3,2501.9,-0.72,2490.0,0.48,25.66,-0.99,0.0,866757,1.65,2497.43,False,2527.56,2463.41,2437.75,True,True,2554.1,2504.5
ITC,OPEN_HIGH,BEARISH (SELL),279.0,279.55,275.4,278.15,-0.3,276.15,0.72,2.24,-1.02,0.197,12213162,1.23,277.03,False,280.39,274.79,272.55,False,True,282.15,278.35
TECHM,OPEN_HIGH,BEARISH (SELL),1654.0,1657.0,1622.1,1655.7,0.1,1625.0,1.85,8.28,-1.1,0.181,3444906,0.99,1634.7,False,1661.97,1643.28,1635.0,False,False,1660.3,1640.0
PERSISTENT,OPEN_HIGH,BEARISH (SELL),5530.0,5530.0,5390.0,5464.0,-1.19,5474.0,-0.18,82.59,-1.12,0.0,327350,0.92,5464.67,True,5546.59,5340.11,5257.52,True,True,5544.0,5470.0
PFC,OPEN_HIGH,BEARISH (SELL),381.0,381.65,375.3,378.0,-0.79,376.5,0.4,4.79,-1.18,0.171,11451259,1.02,377.82,False,382.79,370.81,366.02,False,True,387.0,380.15
ANTHEM,OPEN_HIGH,BEARISH (SELL),898.0,898.0,875.65,892.9,-0.57,878.4,1.62,7.79,-1.3,0.0,392447,0.39,884.02,False,900.69,881.22,873.42,True,False,899.35,852.75
WAAREEENER,OPEN_HIGH,BEARISH (SELL),2704.0,2709.1,2650.9,2700.6,-0.13,2668.0,1.21,16.63,-1.33,0.189,527341,1.21,2676.0,False,2717.23,2675.65,2659.03,False,False,2718.0,2685.0
ADANIENSOL,OPEN_HIGH,BEARISH (SELL),1628.5,1629.7,1570.2,1616.0,-0.77,1599.0,1.05,18.59,-1.42,0.074,1514392,1.27,1599.63,False,1634.59,1588.12,1569.53,False,True,1671.4,1616.1
TATACONSUM,OPEN_HIGH,BEARISH (SELL),1077.0,1078.0,1054.3,1073.9,-0.29,1061.9,1.12,7.33,-1.49,0.093,1647559,1.21,1064.73,False,1081.23,1062.91,1055.58,False,True,1103.7,1076.2
LTM,OPEN_HIGH,BEARISH (SELL),4850.0,4850.0,4691.0,4809.8,-0.83,4762.1,0.99,54.75,-1.81,0.0,308792,0.67,4767.7,False,4864.55,4727.68,4672.93,True,False,4850.0,4751.0
BHARTIHEXA,OPEN_HIGH,BEARISH (SELL),1515.1,1515.4,1477.8,1503.1,-0.79,1486.0,1.14,16.85,-1.84,0.02,265695,1.75,1493.07,False,1519.95,1477.82,1460.97,False,False,1520.4,1494.6
LTTS,OPEN_HIGH,BEARISH (SELL),3652.7,3656.1,3557.7,3621.9,-0.84,3578.9,1.19,45.17,-2.02,0.093,56073,0.59,3597.57,False,3667.07,3554.14,3508.97,False,False,3704.9,3614.3
BSE,OPEN_HIGH,BEARISH (SELL),3605.0,3605.9,3501.0,3567.1,-1.05,3527.0,1.12,49.62,-2.16,0.025,3606153,0.8,3544.63,False,3616.72,3492.67,3443.05,False,False,3625.0,3534.7
TATAELXSI,OPEN_HIGH,BEARISH (SELL),3799.9,3799.9,3685.0,3767.9,-0.84,3711.9,1.49,43.4,-2.19,0.0,181695,0.78,3732.27,False,3811.3,3702.8,3659.4,True,True,3837.6,3775.1
ADANIGREEN,OPEN_HIGH,BEARISH (SELL),1370.0,1371.0,1315.0,1357.9,-0.88,1332.3,1.89,17.21,-2.47,0.073,2052830,1.63,1339.43,False,1375.11,1332.09,1314.88,False,False,1409.8,1355.0
NLCINDIA,OPEN_HIGH,BEARISH (SELL),286.95,286.95,274.5,282.0,-1.73,276.75,1.86,5.81,-2.79,0.0,2878481,0.92,279.4,False,287.81,273.29,267.48,True,False,287.8,280.35
KPITTECH,OPEN_HIGH,BEARISH (SELL),627.0,628.0,609.0,624.4,-0.41,609.2,2.43,5.48,-2.84,0.159,1118611,0.53,615.4,False,629.88,616.18,610.7,False,False,634.0,621.2
FORTIS,OPEN_HIGH,BEARISH (SELL),935.25,936.0,879.1,924.85,-1.11,900.0,2.69,13.96,-3.76,0.08,4117371,2.15,905.03,False,938.81,903.91,889.95,False,False,948.2,924.35
TCS,OPEN_HIGH,BEARISH (SELL),2445.7,2445.8,2300.1,2432.1,-0.56,2349.7,3.39,21.04,-3.93,0.004,6919354,2.68,2365.2,False,2453.14,2400.54,2379.5,True,False,2456.0,2428.0
GODREJIND,OPEN_HIGH,BEARISH (SELL),1304.8,1305.0,1219.1,1289.4,-1.18,1235.2,4.2,19.51,-4.23,0.015,112354,2.93,1253.1,False,1308.91,1260.13,1240.62,True,False,1307.7,1280.3
