ticker,setup_type,signal,open,high,low,entry_price,entry_move_pct,ltp,pnl_pct,risk_per_share,change_pct,diff_from_open_pct,volume,vol_surge,vwap,above_vwap,stoploss,target_1,target_2,exact_match,momentum_confirmed,prev_day_high,prev_day_low
LTTS,OPEN_LOW,BULLISH (BUY),3600.0,3708.0,3600.0,3661.9,1.72,3652.7,-0.25,72.7,1.93,0.0,152106,1.61,3653.57,False,3589.2,3770.95,3843.65,True,True,3654.5,3571.3
EICHERMOT,OPEN_LOW,BULLISH (BUY),7955.0,8110.0,7955.0,8026.5,0.9,8000.0,-0.33,95.36,0.31,0.0,584500,1.47,8021.67,False,7931.14,8169.54,8264.9,True,True,8021.5,7943.0
TITAN,OPEN_LOW,BULLISH (BUY),5090.0,5168.0,5090.0,5148.2,1.14,5128.0,-0.39,73.47,0.75,0.0,1536865,1.02,5128.67,False,5074.73,5258.4,5331.88,True,True,5121.0,4892.9
POLICYBZR,OPEN_LOW,BULLISH (BUY),1620.0,1747.0,1618.0,1651.6,1.95,1733.0,4.93,38.45,6.32,0.123,2968693,1.72,1699.33,True,1613.15,1709.27,1747.72,False,True,1641.4,1590.4
UNITDSPR,OPEN_LOW,BULLISH (BUY),1513.2,1548.7,1513.2,1515.5,0.15,1548.7,2.19,7.58,1.75,0.0,522179,1.23,1536.87,True,1508.66,1526.87,1534.45,True,False,1533.5,1506.4
ZEEL,OPEN_LOW,BULLISH (BUY),90.0,93.94,90.0,92.25,2.5,91.56,-0.75,2.52,-3.03,0.0,21221827,0.91,91.83,False,89.73,96.03,98.55,True,False,95.35,93.45
AETHER,OPEN_LOW,BULLISH (BUY),1597.5,1645.0,1596.0,1611.1,0.85,1634.2,1.43,19.89,2.01,0.094,197523,0.97,1625.07,True,1591.21,1640.93,1660.82,False,False,1621.6,1594.4
BAJAJFINSV,OPEN_LOW,BULLISH (BUY),2014.0,2043.9,2012.0,2015.2,0.06,2032.0,0.83,10.08,0.53,0.099,1033807,0.64,2029.3,True,2005.96,2030.32,2040.4,False,False,2036.0,1994.0
INDIGO,OPEN_HIGH,BEARISH (SELL),5330.0,5330.0,5217.5,5232.0,-1.84,5284.0,-0.99,113.99,-0.93,0.0,476154,0.95,5277.17,True,5345.99,5061.02,4947.02,True,True,5352.0,5301.0
SBIN,OPEN_HIGH,BEARISH (SELL),1071.0,1071.0,1060.4,1064.3,-0.63,1066.0,-0.16,9.91,-0.47,0.0,8841865,0.61,1065.8,True,1074.21,1049.43,1039.52,True,True,1113.1,1069.1
IOC,OPEN_HIGH,BEARISH (SELL),141.5,141.6,139.4,139.82,-1.19,140.0,-0.13,2.2,-1.41,0.071,12267543,1.68,140.33,False,142.02,136.52,134.32,False,True,142.99,141.5
AXISBANK,OPEN_HIGH,BEARISH (SELL),1242.0,1243.0,1225.4,1236.5,-0.44,1229.8,0.54,10.23,-1.4,0.081,5553160,1.35,1232.73,False,1246.73,1221.15,1210.92,False,True,1248.5,1237.1
LALPATHLAB,OPEN_HIGH,BEARISH (SELL),1954.2,1955.1,1917.1,1927.9,-1.35,1949.9,-1.14,33.07,-0.21,0.046,190251,0.71,1940.7,True,1960.97,1878.3,1845.23,False,True,1973.2,1935.0
JIOFIN,OPEN_HIGH,BEARISH (SELL),253.9,254.0,252.0,252.7,-0.47,252.75,-0.02,2.06,-0.49,0.039,5659366,0.5,252.92,False,254.76,249.61,247.55,False,True,257.75,253.6
AWL,OPEN_HIGH,BEARISH (SELL),196.15,196.21,192.2,194.81,-0.68,192.86,1.0,1.99,-1.45,0.031,1007277,0.42,193.76,False,196.8,191.82,189.84,False,True,197.85,195.65
MRF,OPEN_HIGH,BEARISH (SELL),134000.0,134000.0,129570.0,133650.0,-0.26,131125.0,1.89,752.0,-2.04,0.0,17096,2.94,131565.0,False,134402.0,132522.0,131770.0,True,False,134895.0,133640.0
MFSL,OPEN_HIGH,BEARISH (SELL),1510.0,1510.0,1467.5,1489.7,-1.34,1499.0,-0.62,24.83,-1.02,0.0,1542143,2.05,1492.17,True,1514.53,1452.46,1427.62,True,False,1523.0,1477.6
HDFCAMC,OPEN_HIGH,BEARISH (SELL),2554.0,2554.1,2504.2,2534.2,-0.78,2515.0,0.76,27.56,-1.76,0.004,1018234,2.0,2524.43,False,2561.76,2492.86,2465.3,True,False,2572.0,2525.6
